#Initial States of Connected Instruments
#_______________
#Type = Voltmeter 181
#Resource Address = GPIB0::9
#ID = NONE
#Initial Voltage = 0.000047 V
#_______________
#Type = Lock-in Amplifier
#Resource Address = GPIB0::24
#ID = Stanford_Research_Systems,SR830,s/n83855,ver1.07 
#Time Constant = 0.3
#Sensitivity = 2 mV/nA
#Reference Frequency = 408.200000 Hz
#Sine Amplitude = 1.000000 V
#Reference Source = Internal
#Filter Status = Both
#
#_______________
#Type = Gaussmeter 455
#Resource Address = GPIB0::12
#ID = LSCI,MODEL455,4550271,06062006
#Initial Field = -0.000380 T
#_______________
#Type = FSP38
#Resource Address = GPIB0::20
#ID = Rohde&Schwarz,FSP-38,100037/038,3.50
#Reference Level = 0.00 W
#RES Bandwidth = 1.00e+06 Hz
#Range = (1.10e+10, 1.11e+10) Hz
#Sweep Count = 15
#Sweep Points = 125
#Amplitude Unit = W
#
#_______________
#Indicies of Loops
#__Loop 1__
#(0, 124)(125, 249)(250, 374)(375, 499)(500, 624)(625, 749)(750, 874)(875, 999)(1000, 1124)(1125, 1249)
#(1250, 1374)(1375, 1499)(1500, 1624)(1625, 1749)(1750, 1874)(1875, 1999)(2000, 2124)(2125, 2249)(2250, 2374)(2375, 2499)
#(2500, 2624)(2625, 2749)(2750, 2874)(2875, 2999)(3000, 3124)(3125, 3249)(3250, 3374)(3375, 3499)(3500, 3624)
#__Loop 2__
#(0, 3624)
#__Loop 3__
#(0, 3624)
#_______________
#__SWEEP 1__
#
#Name = SpecAnalyzer
#Class Type = GASPSD
#Instrument Type = FSP38 Address = GPIB0::20
#Delay = 0.0 seconds
#Comment=  First instance of the S
#Type = FSP38
#Resource Address = GPIB0::20
#ID = Rohde&Schwarz,FSP-38,100037/038,3.50
#Reference Level = 0.00 W
#RES Bandwidth = 1.00e+06 Hz
#Range = (1.10e+10, 1.11e+10) Hz
#Sweep Count = 15
#Sweep Points = 125
#Amplitude Unit = W
#
#_______________
#__SWEEP 2__
#
#Name = SetField
#Class Type = setBField
#Instrument Type = Lock-in Amplifier Address = GPIB0::24
#Measurement Type = AuxOut  Port = 4
#Delay = 0.0 seconds
#Delay 2 = 1 seconds
#Calibration Factor = -0.059737 T/V
#Comment=     None
#
#Type = Lock-in Amplifier
#Resource Address = GPIB0::24
#ID = Stanford_Research_Systems,SR830,s/n83855,ver1.07 
#Time Constant = 0.3
#Sensitivity = 2 mV/nA
#Reference Frequency = 408.200000 Hz
#Sine Amplitude = 1.000000 V
#Reference Source = Internal
#Filter Status = Both
#
#_______________
#
#
SpecAnalyzer (GHz)	SetField (T)	None	 Sweep 1 (W)
1.099600000e+10	-7.026900000e-01	0.000000000e+00	4.755701000e-14
1.099700000e+10	-7.026900000e-01	0.000000000e+00	-4.684750800e-14
1.099800000e+10	-7.026900000e-01	0.000000000e+00	-7.854914600e-14
1.099900000e+10	-7.026900000e-01	0.000000000e+00	8.535550730e-13
1.100000000e+10	-7.026900000e-01	0.000000000e+00	3.406252710e-12
1.100100000e+10	-7.026900000e-01	0.000000000e+00	5.097918610e-13
1.100200000e+10	-7.026900000e-01	0.000000000e+00	-7.849624000e-15
1.100300000e+10	-7.026900000e-01	0.000000000e+00	-2.822829000e-15
1.100400000e+10	-7.026900000e-01	0.000000000e+00	8.419480000e-15
1.100500000e+10	-7.026900000e-01	0.000000000e+00	3.227886000e-15
1.100600000e+10	-7.026900000e-01	0.000000000e+00	7.170046000e-15
1.100700000e+10	-7.026900000e-01	0.000000000e+00	-8.286990900e-14
1.100800000e+10	-7.026900000e-01	0.000000000e+00	-4.344615000e-15
1.100900000e+10	-7.026900000e-01	0.000000000e+00	-2.221920600e-14
1.101000000e+10	-7.026900000e-01	0.000000000e+00	-7.373312000e-14
1.101100000e+10	-7.026900000e-01	0.000000000e+00	3.027526100e-14
1.101200000e+10	-7.026900000e-01	0.000000000e+00	-7.047617700e-14
1.101300000e+10	-7.026900000e-01	0.000000000e+00	-3.113264800e-14
1.101400000e+10	-7.026900000e-01	0.000000000e+00	-8.776746700e-14
1.101500000e+10	-7.026900000e-01	0.000000000e+00	-3.050598000e-14
1.101600000e+10	-7.026900000e-01	0.000000000e+00	-5.539232300e-14
1.101700000e+10	-7.026900000e-01	0.000000000e+00	-1.660130000e-15
1.101800000e+10	-7.026900000e-01	0.000000000e+00	-1.255592800e-14
1.101900000e+10	-7.026900000e-01	0.000000000e+00	-3.920041000e-15
1.102000000e+10	-7.026900000e-01	0.000000000e+00	2.009980700e-14
1.102100000e+10	-7.026900000e-01	0.000000000e+00	5.024539800e-14
1.102200000e+10	-7.026900000e-01	0.000000000e+00	-1.061000250e-13
1.102300000e+10	-7.026900000e-01	0.000000000e+00	1.438172500e-14
1.102400000e+10	-7.026900000e-01	0.000000000e+00	-4.241095400e-14
1.102500000e+10	-7.026900000e-01	0.000000000e+00	-8.272115700e-14
1.102600000e+10	-7.026900000e-01	0.000000000e+00	-5.708281100e-14
1.102700000e+10	-7.026900000e-01	0.000000000e+00	1.283175000e-14
1.102800000e+10	-7.026900000e-01	0.000000000e+00	4.561022000e-15
1.102900000e+10	-7.026900000e-01	0.000000000e+00	4.486255100e-14
1.103000000e+10	-7.026900000e-01	0.000000000e+00	-6.784546900e-14
